street,link,name,area,price,rooms
Mazowieckie,http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bardzo-pilnie-wynajme-dom-pod-przedszkole-mokotow-i-ursynow-609146126,,160.0,5000.0,4.0
"Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/pokoj-z-kuchnia-i-lazienka-ochota-ul-pawinskiego-609146977,,38.0,1000.0,1.0
"Jankowska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-ul-jankowska-wynajem-1-pokoj-17m2-609148602,,17.0,1400.0,1.0
"Grójecka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-ul-grojecka-2-pokoje-47m2-609149062,,47.0,2300.0,2.0
"Opaczewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/2-pok-ochota-ul-opaczewska-42m-ladne-2-000zl-609149050,,42.0,1950.0,2.0
"Kopińska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-kopinska-1-pok-44-m-609149432,,44.0,1700.0,1.0
"Grójecka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-grojecka-1-pok-34-m-609149794,,34.0,1400.0,1.0
"Wola, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/0zl-prowizji-mieszkanie-na-ul-opaczewskiej-ochota-609139240,,85.0,3000.0,3.0
"Szczęśliwicka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-szczesliwicka-1-pok-26-m-609150291,,26.0,1350.0,1.0
"Walentego Majewskiego Skorochód, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/zadbane-dwupokojowe-mieszkanie-na-ochocie-ul-skorochod-majewski-609150442,,40.0,2200.0,2.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ladne-dwupokojowe-z-garazem-bezposrednio-609150507,,55.0,2200.0,2.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-warszawa-ochota-64-8m2-nr-1804-609111811,,65.0,2300.0,3.0
"Juliana Ursyna Niemcewicza, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-warszawa-ochota-83m2-nr-1174-609111911,,83.0,3500.0,2.0
"Racławicka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/laadne-dwupokojowe-mieszkanie-na-ochocie-609111921,,42.0,1500.0,2.0
"Grójecka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/kawalerka-ul-grojecka-609111773,,38.0,1700.0,1.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/garaz-w-cenie-przy-parku-cicho-cena-do-negocjacji-609114297,,71.0,2650.0,3.0
"Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wynajme-mieszkanie-ochota-609106991,,43.0,2000.0,2.0
Ochota,http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-55m2-mieszkanie-umeblowane-z-garazem-609111660,,55.0,2700.0,2.0
"Włodarzewska 57D, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/3-pokojowe-mieszkanie-osobne-pokoje-609120884,,60.0,2300.0,3.0
"Ochota, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/poszukiwana-kawalerka-609113997,,,900.0,1.0
"Włodarzewska 87, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wysoki-standard-apartament-3-pokojowy-ochota-garaz-609122459,,100.0,7000.0,3.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wygodne-ciche-przy-parku-z-miejscem-w-garazu-609124289,,71.0,2650.0,3.0
"Zadumana 3/5, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-45m2-ochota-bezposrednio-609123921,,45.0,2000.0,2.0
"Aleje Jerozolimskie 147, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bezposrednio-kawalerka-w-centrum-wysoki-standard-609125876,,25.0,2000.0,1.0
"Walentego Majewskiego Skorochód 18, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/kawalerka-na-ochocie-kolo-hal-banacha-609117694,,29.0,1350.0,1.0
"Juliana Ursyna Niemcewicza 26, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ul-niemcewicza-83m2-mieszkanie-3-pokojowe-na-ochocie-609096091,,83.0,2999.0,2.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-warszawa-ochota-64m2-nr-3299-609096389,,64.0,2600.0,3.0
"Szczęśliwicka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-szczesliwicka-2-pok-53-m-609097182,,53.0,2000.0,2.0
"Karola Dickensa 17, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bez-prowizji-mieszkanie-dla-dwoch-osob-lub-rodziny-609090538,,45.0,2000.0,3.0
"Włodarzewska 81, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bez-prowizji-do-wynajecia-3-pokojowe-mieszkanie-na-ochocie-609091403,,60.0,3000.0,3.0
"Neseberska 4, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bez-prowizji-do-wynajecia-3-pokojowe-mieszkanie-na-mokotowie-609091779,,60.0,2300.0,3.0
"Kaliska 23, 02-316 Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/piekny-dwupokojowy-apartament-na-ochocie-ul-kaliska-23-609097506,,40.0,2500.0,2.0
"Jankowska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-ul-jankowska-wynajem-1-pokoj-17m2-609099504,,17.0,1400.0,1.0
"Grójecka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-ul-grojecka-2-pokoje-47m2-609099704,,47.0,2300.0,2.0
"1 Sierpnia, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-1-sierpnia-3-pok-57-m-609099672,,57.0,2700.0,3.0
"Aleje Jerozolimskie, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-al-jerozolimskie-3-pok-48-m-609099242,,48.0,2350.0,3.0
"Ochota, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/zupelnie-nowe-blisko-centrum-591956050,,57.0,3000.0,2.0
"Aleje Jerozolimskie 119, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-umeblowane-scisle-centrum-swietna-lokalizacja-609100019,,28.0,1500.0,1.0
"Włodarzewska 43, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bez-prowizji-do-wynajecia-nowoczesne-3-we-mieszkanie-na-ochocie-609088666,,62.0,3200.0,3.0
"Kaliska 23, 02-316 Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bez-prowizji-do-wynajecia-nowoczesne-2-we-mieszkanie-na-ochocie-609088866,,40.0,2500.0,2.0
"Białobrzeska 28, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bez-prowizji-do-wynajecia-atrakcyjne-2-we-mieszkanie-na-ochocie-609089375,,41.0,2100.0,2.0
"Grójecka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-grojecka-3-pok-47-m-609088959,,47.0,1700.0,3.0
"Białobrzeska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-bialobrzeska-2-pok-50-m-609089277,,50.0,2000.0,2.0
"Częstochowska 44, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bez-prowizji-do-wynajecia-luksosowe-2-we-mieszkanie-na-ochocie-609089740,,48.0,2200.0,2.0
"Aleje Jerozolimskie 117, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bez-prowizji-do-wynajecia-luksusowe-2-we-mieszkanie-na-ochocie-609089554,,47.0,2500.0,2.0
"Władysława Korotyńskiego 9, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bez-prowizji-do-wynajecia-2-we-fantastyczne-mieszkanie-609089902,,50.0,2100.0,2.0
"Dunajecka, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-na-ochocie-2-pokoje-duzy-balkon-609089987,,30.0,1600.0,2.0
"Grójecka 116, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bez-prowizji-do-wynajecia-4-pokojowe-mieszkanie-609090153,,54.0,2700.0,4.0
"Juliana Ursyna Niemcewicza, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-warszawa-ochota-65-5m2-nr-196542-609091789,,66.0,3500.0,2.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/okolice-blue-city-dwu-pokojowe-mieszkanie-55m2-garaz-w-cenie-609093733,,55.0,2200.0,2.0
"Bitwy Warszawskiej 1920 r., Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-bitwy-warszawskiej-2-pok-44-m-609092590,,44.0,1950.0,2.0
"Opaczewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/przestronne-czteropokojowe-mieszkanie-do-wynajecia-609093404,,106.0,4000.0,3.0
"Wacława Sierpińskiego, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/kawalerka-na-sierpinskiego-609094868,,32.0,1650.0,1.0
